Observer;Tone complexity;Session;Practice or main experiment;Chord consonance;Chord shape index;Starting pitch;Probe correctness;Probe consonance;Probe index;Response yes/no;Response accuracy;Response time;Probe amplitude correction
JS;0;1;1;1;3;1;1;NaN;2;0;0;0.60551;NaN
JS;0;1;1;0;7;1;0;NaN;3;1;0;0.71708;NaN
JS;0;1;1;0;10;4;0;NaN;3;0;1;0.60636;NaN
JS;0;1;1;0;10;5;0;NaN;2;0;1;0.55735;NaN
JS;0;1;1;0;6;5;1;NaN;1;0;0;0.55835;NaN
JS;0;1;1;0;8;5;0;NaN;2;1;0;0.54876;NaN
JS;0;1;1;1;1;2;1;NaN;3;0;0;0.58674;NaN
JS;0;1;1;0;7;3;0;NaN;1;0;1;0.60574;NaN
JS;0;1;1;0;7;5;1;NaN;1;0;0;0.5488;NaN
JS;0;1;1;0;8;1;0;NaN;1;0;1;0.58918;NaN
JS;0;1;1;0;9;4;1;NaN;4;1;1;0.60571;NaN
JS;0;1;1;1;3;1;1;NaN;3;0;0;0.59429;NaN
JS;0;1;1;1;5;4;0;0;3;0;1;0.63526;NaN
JS;0;1;1;1;4;1;0;1;3;1;0;0.59629;NaN
JS;0;1;1;0;7;4;1;NaN;1;0;0;0.62942;NaN
JS;0;1;1;1;4;5;0;0;2;0;1;0.55806;NaN
JS;0;1;1;0;8;1;1;NaN;1;0;0;621;NaN
JS;0;1;1;0;7;3;0;NaN;3;0;1;0.61307;NaN
JS;0;1;1;0;7;2;1;NaN;3;1;1;0.60212;NaN
JS;0;1;1;0;8;5;0;NaN;2;0;1;0.61418;NaN
JS;0;1;1;1;4;2;0;1;1;1;0;0.63772;NaN
JS;0;1;1;0;6;1;0;NaN;1;0;1;0.59939;NaN
JS;0;1;1;0;9;2;1;NaN;2;0;0;0.61381;NaN
JS;0;1;1;1;1;2;0;0;1;0;1;0.58713;NaN
JS;0;1;1;0;7;4;0;NaN;1;0;1;0.58203;NaN
JS;0;1;1;0;9;4;0;NaN;1;0;1;0.61397;NaN
JS;0;1;1;0;9;3;1;NaN;1;0;0;0.61356;NaN
JS;0;1;1;1;5;3;1;NaN;2;1;1;0.6001;NaN
JS;0;1;1;1;5;4;1;NaN;2;1;1;0.57468;NaN
JS;0;1;1;0;10;3;0;NaN;1;0;1;0.61412;NaN
JS;0;1;1;0;7;3;0;NaN;1;0;1;0.59769;NaN
JS;0;1;1;1;5;2;0;1;2;1;0;0.60684;NaN
JS;0;1;1;0;6;5;1;NaN;2;0;0;0.5633;NaN
JS;0;1;1;0;9;2;1;NaN;4;0;0;0.65271;NaN
JS;0;1;1;0;7;2;0;NaN;1;0;1;0.66041;NaN
JS;0;1;1;0;7;5;1;NaN;2;1;1;0.59459;NaN
JS;0;1;1;0;6;3;1;NaN;1;0;0;0.62136;NaN
JS;0;1;1;1;1;3;1;NaN;3;1;1;0.57351;NaN
JS;0;1;1;0;9;4;1;NaN;1;0;0;0.65308;NaN
JS;0;1;1;0;7;5;0;NaN;2;1;0;0.62063;NaN
JS;0;1;1;0;8;2;1;NaN;2;0;0;0.61322;NaN
JS;0;1;1;0;7;5;1;NaN;1;0;0;0.63427;NaN
JS;0;1;1;1;3;5;0;0;1;0;1;0.62985;NaN
JS;0;1;1;1;1;5;0;1;3;1;0;0.59852;NaN
JS;0;1;1;1;3;3;0;1;1;1;0;0.65851;NaN
JS;0;1;1;0;9;3;1;NaN;5;1;1;0.60574;NaN
JS;0;1;1;1;4;4;1;NaN;3;1;1;0.55676;NaN
JS;0;1;1;1;1;3;1;NaN;4;1;1;0.65369;NaN
JS;0;1;1;0;9;1;0;NaN;1;0;1;0.62122;NaN
JS;0;1;1;0;9;2;1;NaN;1;0;0;0.58131;NaN
JS;0;1;1;0;7;1;1;NaN;5;1;1;0.58128;NaN
JS;0;1;1;1;5;2;0;1;3;1;0;0.61875;NaN
JS;0;1;1;0;7;5;0;NaN;1;0;1;0.6135;NaN
JS;0;1;1;0;6;5;1;NaN;1;1;1;0.70904;NaN
JS;0;1;1;0;7;4;0;NaN;2;1;0;0.62984;NaN
JS;0;1;1;0;9;5;0;NaN;3;0;1;0.5904;NaN
JS;0;1;1;1;2;2;0;1;3;1;0;0.57792;NaN
